base_glaze_id,over_glaze_id,clear_coat,run_risk_delta,lighten_factor,cover_factor,variegation_boost,notes,image_url,local_image,preview_base_hex,preview_overlay_hex,source,reference_url
amaco_pc_seaweed,amaco_celadon_snow,none,0.0,0.0,0.52,0.18,Auto-generated pair; replace with AMACO chart values if available.,,,,,amaco_layering_pending,https://shop.amaco.com/glazes-underglazes/high-fire-glazes/c-celadon/
amaco_pc_emerald_falls,amaco_celadon_snow,none,-0.04,0.0,0.52,0.18,Auto-generated pair; replace with AMACO chart values if available.,,,,,amaco_layering_pending,https://shop.amaco.com/glazes-underglazes/high-fire-glazes/c-celadon/
amaco_pc_emerald_falls,amaco_pc_textured_turquoise,none,0.26,0.0,0.44,0.18,Auto-generated pair; replace with AMACO chart values if available.,,,,,amaco_layering_pending,https://shop.amaco.com/glazes-underglazes/high-fire-glazes/pc-potters-choice/
amaco_pc_seaweed,amaco_pc_textured_turquoise,none,0.3,0.0,0.44,0.18,Auto-generated pair; replace with AMACO chart values if available.,,,,,amaco_layering_pending,https://shop.amaco.com/glazes-underglazes/high-fire-glazes/pc-potters-choice/
mayco_snc_sour_apple,(clear),satin_matte,0.0,0.0,1.0,0.0,Underglaze stays put; finish defined by clear coat.,,,,,,
amaco_pc_seaweed,(info),none,0.0,0.0,0.0,0.0,Seaweed generally runs more than Emerald Falls on verticals.,,,,,,
amaco_(unknown)_deep_firebrick,amaco_(unknown)_indigo_float,none,0.0,0.0,0.44,0.1,Auto-generated pair; replace with AMACO chart values if available.,,,,,amaco_layering_pending,https://amaco.com/resources/layering
amaco_(unknown)_deep_firebrick,amaco_(unknown)_textured_turquoise,none,0.0,0.0,0.44,0.1,Auto-generated pair; replace with AMACO chart values if available.,,,,,amaco_layering_pending,https://amaco.com/resources/layering
amaco_(unknown)_deep_firebrick,amaco_(unknown)_tourmaline,none,0.0,0.0,0.44,0.1,Auto-generated pair; replace with AMACO chart values if available.,,,,,amaco_layering_pending,https://amaco.com/resources/layering
amaco_(unknown)_deep_firebrick,amaco_(unknown)_frosted_turquoise,none,0.0,0.0,0.44,0.1,Auto-generated pair; replace with AMACO chart values if available.,,,,,amaco_layering_pending,https://amaco.com/resources/layering
amaco_(unknown)_deep_firebrick,amaco_(unknown)_deep_olive_speckle,none,0.0,0.0,0.44,0.1,Auto-generated pair; replace with AMACO chart values if available.,,,,,amaco_layering_pending,https://amaco.com/resources/layering
amaco_(unknown)_deep_firebrick,amaco_(unknown)_temmoku,none,0.0,0.0,0.25,0.12,From AMACO PC Layering brochure (PC-59 base).,,,,,,
amaco_(unknown)_deep_firebrick,amaco_(unknown)_albany_slip_brown,none,0.0,0.0,0.44,0.1,Auto-generated pair; replace with AMACO chart values if available.,,,,,amaco_layering_pending,https://amaco.com/resources/layering
amaco_(unknown)_deep_firebrick,amaco_(unknown)_iron_lustre,none,0.0,0.0,0.44,0.1,Auto-generated pair; replace with AMACO chart values if available.,,,,,amaco_layering_pending,https://amaco.com/resources/layering
amaco_(unknown)_deep_firebrick,amaco_(unknown)_light_sepia,none,0.0,0.0,0.35,0.12,From AMACO PC Layering brochure (PC-59 base).,,,,,,
amaco_(unknown)_deep_firebrick,amaco_(unknown)_oil_spot,none,0.0,0.0,0.35,0.12,From AMACO PC Layering brochure (PC-59 base).,,,,,,
amaco_(unknown)_deep_firebrick,amaco_(unknown)_smoked_sienna,none,0.0,0.0,0.35,0.12,From AMACO PC Layering brochure (PC-59 base).,,,,,,
